id_unit,id_akun,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
1414,4584,4.1.04.12.09.0009,4.1.04.12.09.0009 Pendapatan Denda Pajak Reklame Film/Slide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1414,4585,4.1.04.12.09.0010,4.1.04.12.09.0010 Pendapatan Denda Pajak Reklame Peragaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1414,4587,4.1.04.12.10.0001,4.1.04.12.10.0001 Pendapatan Denda Pajak Penerangan Jalan Dihasilkan Sendiri,2014000,0,0,0,0,0,0,0,0,0,0,0,2014000,2014000,0,
1414,4588,4.1.04.12.10.0002,4.1.04.12.10.0002 Pendapatan Denda Pajak Penerangan Jalan Sumber Lain,2014000,0,0,0,0,0,0,0,0,0,0,0,2014000,2014000,0,
1414,4590,4.1.04.12.11.0001,4.1.04.12.11.0001 Pendapatan Denda Pajak Parkir,15270000,0,0,0,0,0,0,0,0,0,0,0,15270000,15270000,0,
1414,4592,4.1.04.12.12.0001,4.1.04.12.12.0001 Pendapatan Denda Pajak Air Tanah,61782000,0,0,0,0,0,0,0,0,0,0,0,61782000,61782000,0,
1414,4599,4.1.04.12.14.0004,4.1.04.12.14.0004 Pendapatan Denda Pajak Batu Kapur,6246000,0,0,0,0,0,0,0,0,0,0,0,6246000,6246000,0,
1414,4604,4.1.04.12.14.0009,4.1.04.12.14.0009 Pendapatan Denda Pajak Felspar,6246000,0,0,0,0,0,0,0,0,0,0,0,6246000,6246000,0,
1414,4607,4.1.04.12.14.0012,4.1.04.12.14.0012 Pendapatan Denda Pajak Granit/Andesit,6246000,0,0,0,0,0,0,0,0,0,0,0,6246000,6246000,0,
1414,4618,4.1.04.12.14.0023,4.1.04.12.14.0023 Pendapatan Denda Pajak Pasir dan Kerikil,6246000,0,0,0,0,0,0,0,0,0,0,0,6246000,6246000,0,
1414,4625,4.1.04.12.14.0030,4.1.04.12.14.0030 Pendapatan Denda Pajak Tanah Liat,6246000,0,0,0,0,0,0,0,0,0,0,0,6246000,6246000,0,
1414,4627,4.1.04.12.14.0032,4.1.04.12.14.0032 Pendapatan Denda Pajak Tras,6246000,0,0,0,0,0,0,0,0,0,0,0,6246000,6246000,0,
1414,4632,4.1.04.12.14.0037,4.1.04.12.14.0037 Pendapatan Denda Pajak Mineral Bukan Logam dan Batuan Lainnya,6249000,0,0,0,0,0,0,0,0,0,0,0,6249000,6249000,0,
1414,4634,4.1.04.12.15.0001,4.1.04.12.15.0001 Pendapatan Denda PBBP2,12261318000,0,0,0,0,0,0,0,0,0,0,0,12261318000,12261318000,0,
1414,4637,4.1.04.12.16.0002,4.1.04.12.16.0002 Pendapatan Denda BPHTB-Pemberian Hak Baru,489554000,0,0,0,0,0,0,0,0,0,0,0,489554000,489554000,0,
