id_unit,id_akun,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
1408,4306,4.1.02.02.01.0001,4.1.02.02.01.0001 Retribusi Penyewaan Tanah dan Bangunan,100025000,0,0,0,0,0,50012500,0,0,0,0,0,50012500,100025000,0,
1408,4328,4.1.02.02.07.0001,4.1.02.02.07.0001 Retribusi Pelayanan Rumah Potong Hewan,540155000,38850000,40050000,43640000,45215000,48190000,48540000,45040000,47140000,44140000,46795000,45405000,47150000,540155000,0,
